Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,0,Country,
NV Ojha,2015-2015,1,2,0,56,35,28.00,0,0,0,India,
KL Rahul,2014-2015,5,10,0,256,110,25.60,2,0,0,India,
STR Binny,2014-2015,6,10,1,194,78,21.55,0,1,2,India,
Pankaj Singh,2014-2014,2,4,1,10,9,3.33,0,0,2,India,
KV Sharma,2014-2014,1,2,1,8,4*,8.00,0,0,0,India,
AM Rahane,2013-2015,22,40,4,1619,147,44.97,6,7,3,India,
S Dhawan,2013-2015,19,33,1,1308,187,40.87,4,2,4,India,
RG Sharma,2013-2015,16,29,2,896,177,33.18,2,4,4,India,
B Kumar,2013-2015,12,18,3,393,63*,26.20,0,3,2,India,
Mohammed Shami,2013-2015,12,19,6,166,51*,12.76,0,1,3,India,
RA Jadeja,2012-2015,16,24,2,473,68,21.50,0,1,2,India,
R Vinay Kumar,2012-2012,1,2,0,11,6,5.50,0,0,0,India,
V Kohli,2011-2015,41,72,4,2994,169,44.02,11,12,4,India,
R Ashwin,2011-2015,32,48,10,1204,124,31.68,2,6,2,India,
UT Yadav,2011-2015,17,22,8,109,30,7.78,0,0,3,India,
VR Aaron,2011-2015,9,14,5,35,9,3.88,0,0,1,India,
A Mukund,2011-2011,5,10,0,211,62,21.10,0,1,2,India,
P Kumar,2011-2011,6,10,0,149,40,14.90,0,0,2,India,
CA Pujara,2010-2015,32,56,5,2420,206*,47.45,7,7,2,India,
SK Raina,2010-2015,18,31,2,768,120,26.48,1,7,8,India,
WP Saha,2010-2015,11,19,2,367,60,21.58,0,2,3,India,
A Mithun,2010-2011,4,5,0,120,46,24.00,0,0,1,India,
S Badrinath,2010-2010,2,3,0,63,56,21.00,0,1,0,India,
JD Unadkat,2010-2010,1,2,1,2,1*,2.00,0,0,0,India,
PP Ojha,2009-2013,24,27,17,89,18*,8.90,0,0,4,India,
M Vijay,2008-2015,37,65,1,2630,167,41.09,6,12,4,India,
A Mishra,2008-2015,18,29,2,574,84,21.25,0,3,3,India,
I Sharma,2007-2015,68,100,38,550,31*,8.87,0,0,22,India,
RR Powar,2007-2007,2,2,0,13,7,6.50,0,0,0,India,
PP Chawla,2006-2012,3,3,0,6,4,2.00,0,0,0,India,
S Sreesanth,2006-2011,27,40,13,281,35,10.40,0,0,10,India,
RP Singh,2006-2011,14,19,3,116,30,7.25,0,0,7,India,
MM Patel,2006-2011,13,14,6,60,15*,7.50,0,0,4,India,
VRV Singh,2006-2007,5,6,2,47,29,11.75,0,0,0,India,
MS Dhoni,2005-2014,90,144,16,4876,224,38.09,6,33,10,India,
G Gambhir,2004-2014,56,100,5,4046,206,42.58,9,21,6,India,
KD Karthik,2004-2010,23,37,1,1000,129,27.77,1,7,2,India,
Yuvraj Singh,2003-2012,40,62,6,1900,169,33.92,3,11,7,India,
IK Pathan,2003-2008,29,40,5,1105,102,31.57,1,6,5,India,
L Balaji,2003-2005,8,9,0,51,31,5.66,0,0,4,India,
A Chopra,2003-2004,10,19,0,437,60,23.00,0,2,1,India,
PA Patel,2002-2008,20,30,7,683,69,29.69,0,4,4,India,
A Ratra,2002-2002,6,10,1,163,115*,18.11,1,0,1,India,
V Sehwag,2001-2013,103,178,6,8503,319,49.43,23,31,16,India,
SB Bangar,2001-2002,12,18,2,470,100*,29.37,1,3,2,India,
D Dasgupta,2001-2002,8,13,1,344,100,28.66,1,2,2,India,
T Yohannan,2001-2002,3,4,4,13,8*,-,0,0,0,India,
SS Dighe,2001-2001,6,10,1,141,47,15.66,0,0,1,India,
HK Badani,2001-2001,4,7,1,94,38,15.66,0,0,0,India,
SV Bahutule,2001-2001,2,4,1,39,21*,13.00,0,0,2,India,
IR Siddiqui,2001-2001,1,2,1,29,24,29.00,0,0,0,India,
RL Sanghvi,2001-2001,1,2,0,2,2,1.00,0,0,1,India,
Z Khan,2000-2014,92,127,24,1231,75,11.95,0,3,29,India,
W Jaffer,2000-2008,31,58,1,1944,212,34.10,5,11,6,India,
M Kaif,2000-2006,13,22,3,624,148*,32.84,1,3,1,India,
M Kartik,2000-2004,8,10,1,88,43,9.77,0,0,2,India,
SS Das,2000-2002,23,40,2,1326,110,34.89,2,9,3,India,
Sarandeep Singh,2000-2002,3,2,1,43,39*,43.00,0,0,0,India,
SS Karim,2000-2000,1,1,0,15,15,15.00,0,0,0,India,
N Chopra,2000-2000,1,2,0,7,4,3.50,0,0,0,India,
